Rank,State,life_expectancy,idk,wtf,shit
1,Kerala,75.9,74.7,69.9,64.1
2,Jammu and Kashmir,74.0,74.1,72.6,-
3,Himachal Pradesh,71.7,72.6,71.6,67.02
4,Punjab,72.3,72.4,71.6,69.4
5,Maharashtra,73.2,72.5,71.6,67.2
6,Uttarakhand,70.1,71.7,71.7,60.0
6,Tamil Nadu,74.0,71.7,70.6,66.2
7,West Bengal,72.0,71.2,70.2,64.9
8,Gujarat,70.9,69.7,68.7,-
9,Haryana,71.7,69.7,68.6,-
10,Karnataka,73.1,69.2,68.8,65.3
11,Andhra Pradesh (includes Telangana),70.1[9],69.7,68.5,64.4
12,Delhi,77.0,75.2,74.9,73.8
13,Bihar,68.7,68.9,68.1,61.6
14,Jharkhand,68.9,68.6,66.6,58.0
15,Rajasthan,67.2,68.5,67.7,62.0
16,Odisha,69.1,68.4,65.8,59.6
17,Assam,68.8,66.2,63.9,58.9
18,Madhya Pradesh,67.4,66,64.2,58.0
19,Chhattisgarh,67.1,65.2,64.8,58.0
20,Uttar Pradesh,65.7,65,64.1,60.0
21,Goa,75.3,-,-,-
22,Sikkim,73.6,-,-,-
23,Manipur,73.5,-,-,-
24,Tripura,72.8,-,-,-
25,Arunachal Pradesh,72.4,-,-,-
26,Nagaland,72.4,-,-,-
27,Meghalaya,71.5,-,-,-
28,Telangana,71.1,-,-,-
29,Mizoram,69.6,-,-,-
1,Andaman and Nicobar Islands,76.0,-,-,-
2,Puducherry,74.2,-,-,-
3,Lakshadweep,73.6,-,-,-
4,Chandigarh,73.3,-,-,-
5,Daman and Diu and Dadra nagar haveli,72.8,-,-,-

